country,year,msw_gen_t,msw_trt_t,gdp_meur,population,msw_data_flag,log_gdp,log_pop,log_msw
DE,2004,48434000.0,48434000.0,2444603.5,,reported,14.709393500051346,,17.695712604402583
DE,2005,46555000.0,46555000.0,2466119.7,,reported,14.718156501674377,,17.656144967304765
DE,2006,46426000.0,46426000.0,2561321.9,,reported,14.756034050371586,,17.65337020508953
DE,2007,47887000.0,47887000.0,2635302.6,,reported,14.784508572073817,,17.68435462679845
DE,2008,48367000.0,48367000.0,2658882.1,,reported,14.793416329264677,,17.69432832096132
DE,2009,48466000.0,48466000.0,2511215.5,,reported,14.736277456838714,,17.696373079142795
DE,2010,49237000.0,49236000.0,2615260.0,,reported,14.776874076924917,,17.712155931348097
DE,2011,50237000.0,50238000.0,2713999.1,,reported,14.813933787763043,,17.732262364965507
DE,2012,49759000.0,49759000.0,2727557.3,,reported,14.818917004718005,,17.72270190973024
DE,2013,49570000.0,49021000.0,2740231.3,,reported,14.823552890859812,,17.718896369996756
DE,2014,51102000.0,51102000.0,2801538.0,,reported,14.84567911005754,,17.749334193351274
DE,2015,51625000.0,51626000.0,2851349.6,81197537.0,reported,14.863302984017972,18.21239547215955,17.75951660924547
DE,2016,52133000.0,52133000.0,2916488.0,82175684.0,reported,14.885890710646535,18.224370001179338,17.76930870352504
DE,2017,51790000.0,51790000.0,3001079.4,82521653.0,reported,14.914482581919886,18.22857127747421,17.762707638400073
DE,2018,50260000.0,50272000.0,3038217.1,82792351.0,reported,14.926781421072425,18.231846235861212,17.73272009007972
DE,2019,50612000.0,50612000.0,3071228.4,83019213.0,reported,14.937588169825762,18.234582620900774,17.739699260291292
DE,2020,53322000.0,53322000.0,2947436.0,83166711.0,reported,14.896446197841556,18.236357717553727,17.791859561948666
DE,2021,53871000.0,53871000.0,3064154.5,83155031.0,reported,14.935282232853343,18.236217266884093,17.802102857692145
DE,2022,50606000.0,50606000.0,3121334.8,83237124.0,reported,14.953771288809383,18.237204008196038,17.739580704303087
DE,2023,51017000.0,51017000.0,3089797.2,83118501.0,reported,14.943616015652154,18.23577787042516,17.74766946847872
DK,2004,3757000.0,3757000.0,1757382.9,,reported,14.379336271713168,,15.139131324556105
DK,2005,3990000.0,3990000.0,1798850.3,,reported,14.402658296574232,,15.199301788866046
DK,2006,4021000.0,4021000.0,1867503.1,,reported,14.440112855960958,,15.207041185879412
DK,2007,4313000.0,4313000.0,1885938.7,,reported,14.449936238996203,,15.277144275629981
DK,2008,4560000.0,4560000.0,1878070.9,,reported,14.445755690966369,,15.33283318149057
DK,2009,4206000.0,4206000.0,1784646.7,,reported,14.39473102643484,,15.252022635244781
DK,2010,,,1812895.8,,missing,14.410436014284976,,
DK,2011,4803000.0,4803000.0,1836659.3,,reported,14.423458881563652,,15.384751280646961
DK,2012,4508000.0,4507000.0,1836559.5,,reported,14.4234045423013,,15.321364154141804
DK,2013,4564000.0,4563000.0,1862136.8,,reported,14.43723520350816,,15.333709989964103
DK,2014,4558000.0,4559000.0,1885934.9,,reported,14.449934224082448,,15.332394488787767
DK,2015,4671000.0,4671000.0,1925622.8,5659715.0,reported,14.470760005846211,15.548884095554703,15.356883739484244
DK,2016,4757000.0,4757000.0,1984798.1,5707251.0,reported,14.501027754083978,15.557248029627578,15.375127775414418
DK,2017,4728000.0,4728000.0,2045463.0,5748769.0,reported,14.531134727701069,15.564496302897128,15.369012838068072
DK,2018,4715000.0,4707000.0,2083508.7,5781190.0,reported,14.549563905501874,15.570120101810637,15.366259474049695
DK,2019,4907000.0,4907000.0,2119165.9,5806081.0,reported,14.566533125832809,15.574416374554481,15.40617331507204
DK,2020,4744000.0,4744000.0,2081442.5,5822763.0,reported,14.548571720926217,15.577285449321204,15.372391219659699
DK,2021,4688000.0,4688000.0,2216741.6,5840045.0,reported,14.611548927903845,15.580249060254175,15.360516610238985
DK,2022,4478000.0,4478000.0,2226580.2,5873420.0,reported,14.615977423755394,15.585947645654468,15.314687076140837
DK,2023,4513000.0,4513000.0,2251670.1,5932654.0,reported,14.627182765503612,15.595982225657199,15.322472678809138
EE,2004,606000.0,534000.0,13738.2,,reported,9.527935552827707,,13.314635265051452
EE,2005,587000.0,502000.0,15046.5,,reported,9.61890068499165,,13.282780098810234
EE,2006,536000.0,467000.0,16515.4,,reported,9.712048557937273,,13.19188944005294
EE,2007,602000.0,531000.0,17765.8,,reported,9.785030539808215,,13.308012724290958
EE,2008,524000.0,440000.0,16855.2,,reported,9.73241449351292,,13.169246963303179
EE,2009,452000.0,383000.0,14389.3,,reported,9.574240153805926,,13.021437458814368
EE,2010,406000.0,340000.0,14741.8,,reported,9.598442274976973,,12.91410843858387
EE,2011,399000.0,332000.0,15863.2,,reported,9.671757240284595,,12.896716695872
EE,2012,371000.0,247000.0,16445.7,,reported,9.707819323846769,,12.823957341589573
EE,2013,386000.0,336000.0,16734.5,,reported,9.725227735696844,,12.863592648446968
EE,2014,470000.0,398000.0,17290.6,,reported,9.757918280215197,,13.060487973686241
EE,2015,473000.0,411000.0,17608.4,1313271.0,reported,9.776131339895114,14.08803152955072,13.06685066747407
EE,2016,494000.0,453000.0,18153.0,1315944.0,reported,9.80659111529043,14.090064836770498,13.110290796170059
